Extract No.	Need to be Checked(Y/N)	Old Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)	SD ReadLen (Mapped)	ReadLen (All)	SD ReadLen (All)	Museum Code	Age	Period	Neolithic (Y/N/W)	Group	Country	Location	Site Code/Name	Wild/Dom Status	GMM Status	Desired Cov / Current Cov	Seq. strategy (N*S=lane * Shotgun; N*W=lane*WG Wapture; M=mt Capture). UDG for >55bp	Sequencing Status	Source Person	Other Details	Other Details2	Old Haplogroup	Consensus	Internal	External	Lat	Long	mtDNA_cov	mtDNA_bp	DNA	GMM ID (AE)	mtDNA source
AA631	N		2598	45165	5.75224178	1.129192959	1	0.5154	42.05559968	24.96404582	65.81168713	14.40987084	FMP_FRI_40		Middle Bronze Age	NA	NA	Italy		Frilli W	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA632	N		898	22119	4.059858041	0.131109001	0	0.5479	28.34975369	19.75681379	65.69815508	13.85993262	FMP_FRI_83		Middle Bronze Age	NA	NA	Italy		Frilli W	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA633	N		402	11268	3.567625133	0.195243166	0	0.2935	25.40140845	16.37526354	65.98959641	13.97515444	FMP_FRI_107		Middle Bronze Age	NA	NA	Italy		Frilli W	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA634	N		223	84121	0.265094328	0.013076402	1	0.1749	28.79347826	18.66239493	64.58733141	12.14882716	FMP_FRI_138		Middle Bronze Age	NA	NA	Italy		Frilli W	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA046	N	LG265	228	5242	4.349484929	0.095383441	0	0.4035	18.70614035	2.632657828	61.55207936	26.79776595	DNA sample 1		Neolithic	Y		Iran		Ganj Dareh				M		Melinda Zeder	DNA sample 1		DNW	-	7	23	_	_	0	0	0	yes	NA
AA022	N	GL312	2363	137068	1.723961829	0.223246856	0	0.0292	19.87134998	4.034613699	43.6104926	16.34668435	5599	4th Dynastic 2575-2465BC				Egypt	North East Egypt	Giza				M		?	SPMP 2002 BD 6 S+T 26 5599		DNW	-	9	21	_	_	0.019863962	330	0	no	NA
AA027	N	GL504	13451	168601	7.978007248	0.236060284	1	0.7924	18.80313731	6.743812847	52.04513022	23.42487394	AXIVII	~3000BC	Bronze Age	W		Iran	Mazandaran Province	Gohar Tappeh	Wild			M		Ninna Manaseryan	D129	D003314	DNW	-	1	22	36.65	53.30	0.006440739	107	0	yes	NA
AA028	N	GL711	695	107522	0.646379346	0.146016629	0	0.2906	20.3942446	5.2754088	82.36766429	22.40552119	T.AXIXXXIV D.8150	~3000BC	Bronze Age	W		Iran	Mazandaran Province	Gohar Tappeh	Wild			M		Ninna Manaseryan	Gohar D800		DNW	-	2	22	36.65	53.30	0.052248239	742	0	yes	NA
AA266	N	GL507	23797	619775	3.839619217	1.814529466	799	0.0319	39.70662789	13.43306289	47.28317962	14.57228697	1	late 2nd - early 1st century BC	Late Iron Age	N	EUD-A	Switzerland	Basel-Gasfabrik	Grube84	Domestic			M		Jörg Schibler			ANC-Aside	Eu	3	39	47.56	7.59	28.30446036	16245	3	no	BOTH
AA267	N	GL509	334	74596	0.447745187	0.058984396	1	0.1347	23.14878893	8.865625345	67.96147604	14.1658829	21670	late 2nd - early 1st century BC	Late Iron Age	N	EUD-A	Switzerland	Basel-Gasfabrik	Grube86	Domestic					Jörg Schibler			ANC-Aside	Eu	2	39	47.56	7.59	0.031300789	520	0	no	PCR
AA360	N	LG784	39912	598651	6.666989615	3.871036714	82	0.013	48.56509321	13.31972676	56.61550052	14.26987632	HV-08	1800-1200 B.C.		W	NEW-A	Iran	Western Azerbaidjan	Haftavan Tepe		Large Wild(99.43%)		M		Marjan Mashkour	HV-08		ANC-Arm-1T	ArmT	3	46	38.17	44.80	0.244507314	3494	3	Iran-HV-8	BOTH
AA361	Y		236720	408313	57.97513182	33.38982594	1650	0.0247	43.72645319	12.68258566	48.69011518	15.27106246			Middle & Late Bronze Age	N	?	Iran	Western Azerbaidjan	Haftavan Tepe			10 / 0	5S	Cancelled - Re-extract from bone	Marjan Mashkour	D002057 HV No.31		N	ArmT	4	46	38.17	44.80	6.59200626	15563	3	?	BOTH
AA362	N		1003	104406	0.960672758	0.363963757	1	0.0808	36.87836491	16.51616158	64.98962703	14.45028262			Middle and Late Bronze Age	N		Iran	Western Azerbaidjan	Haftavan Tepe				M		Marjan Mashkour	D002091 HV No.62 X2/2B			-	5	46	38.17	44.80	0.002287365	38	0	?	NA
LG791	N	LG791	18	1351	1.33234641	0.44411547	1	0	46.11111111	21.25721715	65.34863064	13.53236983	HV-36	1800-1200 B.C.		W	NEW-A	Iran	Western Azerbaidjan	Haftavan Tepe	Wild	Large Wild(100%)				Marjan Mashkour			ANC-Arm-1T	ArmT	3	37	38.17	44.80	0.002166978	36	0	Iran-HV-36	PCR
AA047	Y	LG269	404	193185	0.209125967	0.015529156	0	0.1782	18.93316832	3.429978602	61.37619898	18.90837636	HC94 5E23-2227	~ 11,600 cal BP	Pre-Pottery Neolithic	Y	?	Turkey		Hallan Çemi						Melinda Zeder	HC94 5E23-2227 Sus		DNW	Y2	8	23	35.22	37.98	0.281827485	3935	1	no (Max Price may have it?)	NGS
AA048	N	LG270	151	49948	0.302314407	0.012012493	0	0.1854	17.63576159	4.342784734	65.84569953	15.84382038	HC94 5E18-2250	~ 11,600 cal BP	Pre-Pottery Neolithic	Y		Turkey		Hallan Çemi		assumed pre domestic-not identified				Melinda Zeder	HC94 5E18-2250 Sus Teeth		DNW	-	9	23	35.22	37.98	0.036778427	567	0	WAS-HC7	NA
AA100	Y	GL354	268	261003	0.102680812	0.011877258	0	0.1045	19.59328358	4.035733605	75.84915116	18.02652227	14	10,000BP	Pre-Pottery Neolithic	Y	?	Turkey		Hallan Çemi						Richard Redding	HC92 6F7 718		DNW	Eu	3	27	35.22	37.98	0.255703365	3765	1	no	NGS
AA101	N	GL339	688	26801	2.567068393	0.11939853	0	0.6003	18.59447674	4.907864202	74.24443118	23.77868082	11		early Neolithic	Y		Turkey		Hallan Çemi				M		Richard Redding	HC92 6F7 718		DNW	-	4	27	38.16	41.13	0.039968699	664	0	no	NA
AA103	Y	GL354	1644	7773	21.15013508	0.656117329	0	0.6928	17.25148515	1.800055878	62.10220078	21.07681137	14	10,000BP	Pre-Pottery Neolithic	Y	?	Turkey		Hallan Çemi				M		Richard Redding	HC92 6F7 718		DNW	Y1	6	27	35.22	37.98	0.150665142	2384	1	no	NGS
AA103	Y	GL354	822	7823	10.50747795	0.357918957	0	0.5937	17.19829684	1.787314078	70.52818612	29.94649096	14	10,000BP	Pre-Pottery Neolithic	Y	?	Turkey		Hallan Çemi				M		Richard Redding	HC92 6F7 718		DNW	Y1			35.22	37.98	0.150665142	2384	1	no	NGS
AA104	N		1244	57860	2.150017283	0.05876253	0	0.5362	18.00482315	1.886133305	73.20292084	23.2291416			early Neolithic	Y		Turkey		Hallan Çemi				M		Richard Redding	HC92 6F 7 718 DNA Sample:13			-	7	27	38.16	41.13	0.032324084	452	0	no	NA
AA180	N	GL426	1271	108740	1.168843112	0.023910245	0	0.609	17.01809599	2.025542368	68.44895163	12.01976872	6F7-514		early Neolithic	N		Turkey		Hallan Çemi				M		Richard Redding			DNW	-	10	32	38.16	41.13	0	0	0	no (Max Price may have it?)	NA
BLT001	Y	LG267	18485	5855242	0.315700017	0.066880242	1	0.1375	23.84726839	15.80592269	58.78834196	35.96255291			Pre-Pottery Neolithic	Y	?	Turkey		Hallan Çemi						Melinda Zeder			n/a	-			35.22	37.98	0.002768916	1	2	no (maybe Max Price?-	NA
BLT002	Y	LG268	25221	4295589	0.587137177	0.115048251	1	0.1128	22.13943511	12.38173635	63.37859793	43.64896844			Pre-Pottery Neolithic	Y	?	Turkey		Hallan Çemi						Melinda Zeder			n/a	-			35.22	37.98	0.003009691	1	2	no (maybe Max Price?-	NA
BLT003	N	LG271	23176	3095881	0.748607585	0.142059724	2	0.1155	21.70214634	12.06173711	50.58183535	31.87082483			Pre-Pottery Neolithic	W	NEW-A	Turkey		Hallan Çemi		Large Wild(100%)				Melinda Zeder			n/a	-			35.22	37.98	0.001685427	2	2	HC_LG271	NA
BLT028	Y	LG268	28002	6553320	0.427294867	0.088336904	0	0.124	22.56247197	13.08643692	61.87853262	43.87994218	HC94 5E14-2211		Pre-Pottery Neolithic	Y	?	Turkey		Hallan Çemi						Melinda Zeder			n/a	-			35.22	37.98	0	0	2	no 	NA
AA081	Y	GL1033	2225	520895	0.427149426	0.057401204	0	0.0562	20.65303371	5.108452494	51.19951814	15.77918638	5	4100-3400 BC	Chalcolithic	N	?	Romania	Constanta County	Harsova						Adrian Balacescu	Sample no. 5 Specimen No. 599		DNW	Eu	11	25	44.69	27.95	0.114368266	1721	1	no	NGS
KD024	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	Neolithic	Y	EUD-A	Netherlands	Utrecht	Houten-Hoogdijk	Domestic		NA	NA	NA	NA	NA		-	Eu			52.08	5.12	36.40703064	16354	3		NGS
AA052	N	LG279	7567	836739	0.904344126	0.134928574	0	0.0379	20.21038721	3.22979012	45.38527665	14.16615138	DNA sample 24, Bag 381		Bronze Age	N		Syria		Mashnaqua				M		Melinda Zeder	DNA sample 24, Bag 381	No other details	DNW	-	13	23	_	_	0	0	0	yes	NA
AA014	N	GL307	100	14308	0.698909701	0.125803746	0	0.13	21.51	8.512017648	82.1803187	20.74111053	ZMK 11/1915	5400-4500 BC	Late meso (early part)	W	EUW-A	Denmark	NE Zealand	Nivå	Wild			M		Kim Aaris-Sørensen				Eu	2	21	56.02	10.26	0.223559863	3057	1	no	NGS
AA357	N	GL301	7772	535637	1.450982662	0.764510293	98	0.0171	41.14590839	13.73731227	50.56444383	12.16018763	E147 7	9th millennium cal BC	Middle Mesolithic	W	EUW-A	France	Middle Seine Valley (Bassée)	Noyen - Sur Seine	Wild			M		Jean-Denis Vigne			DNW	Eu	13	45	48.46	3.34	0.246132547	3666	3	no	NGS
AA358	N	GL431	7565	83223	9.090035207	1.583696815	26	0.5754	24.30033047	11.23780054	49.71167826	17.07176627	K236 28	9th millennium cal BC	Middle Mesolithic	W	EUW-A	France	Middle Seine Valley (Bassée)	Noyen - Sur Seine	Wild			M		Jean-Denis Vigne	K236 28		ANC-Cside	Eu	1	46	48.46	3.34	0.053211341	884	0	no	PCR
AA359	N	GL451	364	70970	0.512892772	0.07890658	0	0.3764	21.34615385	9.12574909	68.61070875	12.57612963	E137 15	9th millennium cal BC	Middle Mesolithic	W		France	Middle Seine Valley (Bassée)	Noyen - Sur Seine	Wild			M		Jean-Denis Vigne			DNW	-	2	46	48.46	3.34	0.019141636	318	0	no	NA
LG387	N	LG387	4	690	0.579710145	0.144927536	0	0	41	27.27636339	59.8	12.80060322	Noy_08	9th millennium cal BC	Middle Mesolithic	W	EUW-A	France	Middle Seine Valley (Bassée)	Noyen - Sur Seine	Wild	pre domestic assumed to be Wild				Allowen Evin			ANC-Cside	Eu	1	44	48.46	3.34	0	0	0	Noy_08	PCR
AA282	N	GL314	80	21525	0.371660859	0.051103368	0	0.125	21.54285714	9.210400099	70.7687195	10.51609379	4000N		Late Roman/Early Medieval	N	EUD-A	Belgium	Flanders, nr Oostende	Oudenburg	Domestic					Anton Ervynck			ANC-Aside	Eu	5	40	51.18	3.00	0	0	0	no	PCR
AA283	N	GL825	1420	190430	0.745680828	0.305098987	4	0.1261	44.99274778	21.93231771	56.86517811	14.42136753	2000D		Late Roman/Early Medieval	N	EUD-A	Belgium	Flanders, nr Oostende	Oudenburg	Domestic					Anton Ervynck			ANC-Aside	Eu	6	40	51.18	3.00	0.329741768	4599	1	no	BOTH
AA284	Y		3246	282440	1.149270642	0.308384082	16	0.2662	36.4643157	20.63299498	54.34105535	14.58629097			Late Roman/Early Medieval	N	?	Belgium	Flanders, nr Oostende	Oudenburg				M		Anton Ervynck	2000E			Eu	7	40	51.18	3.00	1.313248661	11469	1	no	NGS
AA285	Y		4572	27419	16.67456873	1.35672344	3	0.5665	23.5	11.76347542	53.84340892	19.67623306			Late Roman/Early Medieval	N	?	Belgium	Flanders, nr Oostende	Oudenburg				M		Anton Ervynck	2000G			Eu	8	40	51.18	3.00	0.241497622	3520	1	no	NGS
AA286	Y		1147	16474	6.962486342	0.388490955	2	0.3697	21.88381743	10.08181495	57.96604361	18.29559166			Late Roman/Early Medieval	N	?	Belgium	Flanders, nr Oostende	Oudenburg				M		Anton Ervynck	4000F			Eu	9	40	51.18	3.00	0.05682297	944	1	no	NGS
AA079	N	GL1031	2615	94915	2.755096665	0.346625928	0	0.5912	23.61185468	14.48682266	53.06534268	19.3853577	13	3000-1600 BC?	Bronze Age	N	EUD-A	Romania	Ilfov County	Popesti	Domestic			M		Valentin Dumitrascu			DNW	Eu	1	23	44.37	26.18	5.442063444	16004	1	no	NGS
AA080	N	GL1032	1459	202065	0.722044887	0.189542969	6	0.1857	27.80397533	15.25201952	53.93751021	17.9464309	14	3000-1600 BC?	Bronze Age	N	EUD-A	Romania	Ilfov County	Popesti	Domestic					Valentin Dumitrascu			ANC-Aside	Eu	10	25	44.37	26.18	0.056281226	864	0	no	PCR
AA082	N	GL1034	1801	88275	2.040215236	0.402152365	2	0.2438	24.77845641	12.38347026	49.25672048	20.78359432	16	900 - 150 BC?	Halltstatt C	W	BLW-A	Romania	Ilfov County	Popesti	Wild			M		Valentin Dumitrascu			ANC-Aside	Eu	12	25	44.37	26.18	0.014506712	241	0	no	PCR
AA083	N	GL1035	553	92686	0.596638111	0.132706126	1	0.0072	25.09764919	12.73395032	48.04120363	14.21800821	17	300-400 AD	La Tene	N	EUD-A	Romania	Ilfov County	Popesti	Domestic					Valentin Dumitrascu			ANC-Aside	Eu	13	25	44.37	26.18	0.008908686	148	0	no	PCR
AA456	N	GL981/2/3	948	44959	2.108587824	0.983117952	0	0.0665	39.97288136	17.6963244	53.01472292	14.17654368	#N/A	Beta-131626, 9450-10050	Mesolithic	W		Croatia	15km w of Rijeka	Pupicina Cave	Wild?			M		Preston Miracle	PUP98 1161.7(202)		DNW	-	5	34	45.36	14.12	0.03888521	646	0	no	NA
AA457	N	GL979	7093	647387	1.095635223	0.406402971	7	0.1403	36.18235487	17.54231614	50.125263	13.41887589	Pup59 1250	Beta-129332, 9225-9310	Mesolithic	W	EUW-A	Croatia	15km w of Rijeka	Pupicina Cave	Wild			M		Preston Miracle			ANC-Italy	It	6	34	45.36	14.12	29.07716848	16040	3	no	BOTH
AA458	N	GL981	5665	786039	0.720702153	0.223525805	11	0.0628	32.41269542	16.4701826	50.24558505	12.88832156	Pup98 1207.17 (294)	Beta-131626, 9450-10050	Mesolithic	N	BLW-A	Croatia	15km w of Rijeka	Pupicina Cave	Wild			M		Preston Miracle			DNW	It	7	34	45.36	14.12	0.068620959	1114	1	no	NGS
AA459	N	GL982	1744	201141	0.86705346	0.090980954	0	0.3102	22.66251039	10.2911436	50.46737787	13.66219197	Pup98 1161.1 (203)	Beta-131626, 9450-10050	Mesolithic	W	BLW-A	Croatia	15km w of Rijeka	Pupicina Cave	Wild			M		Preston Miracle			ANC-1	It	8	34	45.36	14.12	4.413772347	14940	1	no	BOTH
AA471	N	GL726	2744	318313	0.862044591	0.364107027	1	0.0565	43.06836616	16.29252134	57.4069016	13.50618312	Pup97 771C.24	8500 cal BC	Mesolithic	W	BLW-A	Croatia	15km w of Rijeka	Pupicina Cave	Wild?			M		Preston Miracle	Pup No.1		ANC-Italy	It	7	35	45.36	14.12	0.001926202	32	0	no	PCR
AA472	N	GL727	505	91013	0.554865788	0.09559074	20	0.1901	25.78728606	13.72903874	54.31459463	14.76813103	Pup97 768D.38	8500 cal BC	Mesolithic	W	EUW-A	Croatia	15km w of Rijeka	Pupicina Cave	Wild?			M		Preston Miracle	Pup No.2		DNW	It	8	35	45.36	14.12	0.067116114	983	1	no	NGS
AA473	Y	GL728	1546	345260	0.447778486	0.107165614	7	0.0492	26.19863946	11.99500683	49.58247485	13.39896012	Pup97 564.37	4300 cal BC	Late Neolithic	Y	?	Croatia	15km w of Rijeka	Pupicina Cave	Domestic?					Preston Miracle	Pup No.3		ANC-Y2-5A	Y2	9	35	45.36	14.12	0.017275628	287	0	no	PCR
AA474	Y	GL729	2032	726989	0.279509043	0.052820607	2	0.0207	23.23165829	9.248271224	48.94628907	12.25382507	Pup 17 (24)	1500 cal BC	Middle Bronze Age	N	?	Croatia	15km w of Rijeka	Pupicina Cave	Domestic?			M		Preston Miracle	Pup No.4		ANC-Cside	Eu	10	35	45.36	14.12	0.006982484	116	0	no	PCR
AA475	N	GL730	834	139118	0.59949108	0.112853836	8	0.0468	23.90314465	9.54411355	51.11210895	14.31139315	Pup 61 (1261)	~9500 Cal BC	Mesolithic	W	BLW-A	Croatia	15km w of Rijeka	Pupicina Cave	Wild?			M		Preston Miracle	Pup No.5		ANC-Italy	It	11	35	45.36	14.12	0.015710588	261	0	no	PCR
GL726	N	GL726	311	33008	0.942195831	0.112094038	4	0.2379	20.5443038	8.733528033	57.32862695	15.42977001	Pup97 771C.24	8500 cal BC	Mesolithic	W	BLW-A	Croatia	15km w of Rijeka	Pupicina Cave	Wild					Preston Miracle			ANC-Italy	It	10	45	45.36	14.12	0.013423223	223	0	no	PCR
GL980	N	GL980	53988	2005982	2.691350172	1.066161112	4486	0.0997	32.25368774	11.95665956	45.04478404	11.97760887	Pup96 229.11	8740-9220 cal BC	Mesolithic	W	EUW-A	Croatia	15km w of Rijeka	Pupicina Cave	Wild					Preston Miracle			ANC-Italy	Eu	13	45	45.36	14.12	11.3898754	15888	3	no	BOTH
AA635	N		281	26501	1.060337346	0.041507868	0	0.3381	20.62903226	10.45127775	59.91051276	14.77248211	FMP_SchSPZ_93		Neolithic	NA	NA	Italy		Sachetto	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA636	N		1422	29024	4.899393605	0.678748622	0	0.7918	18.96621622	5.328421448	58.29568428	15.23034345	FMP_SchSPZ_99		Neolithic	NA	NA	Italy		Sachetto	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA637	N		1962	188483	1.040942684	0.062074564	0	0.5479	25.40586246	14.48521818	56.72672458	14.38552758	FMP_SchSPZ_256		Neolithic	NA	NA	Italy		Sachetto	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA638	N		2697	216923	1.243298313	0.056702148	0	0.5606	20.69029536	7.78833904	58.50810311	15.08751325	FMP_SchV_109		Neolithic	NA	NA	Italy		Sachetto	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA639	N		1098	47824	2.295918367	0.087822014	0	0.4836	33.19753086	18.1338699	59.58334214	14.21395039	FMP_SchV_112		Neolithic	NA	NA	Italy		Sachetto	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA640	N		1113	387245	0.287414944	0.016010536	1	0.5669	32.1659751	21.21372883	72.96119644	6.137651087	FMP_SchV_1080		Neolithic	NA	NA	Italy		Sachetto	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA629	N		44284	1835989	2.411997022	1.237098915	4	0.0349	40.02447528	14.22112568	48.81832895	13.07097719	FMP_SMS_1341		Late Neolithic	NA	NA	Italy		Santa Maria In Selva	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA197	N	GL12a/b	706	5581	12.65006271	0.716717434	0	0.5652	18.67563739	5.541426317	64.20820641	20.48675621	SEE724	E (2718-2710 BC cal)	Late Neolithic	Y		Switzerland	Zürich-Seefeld	SEE				M		Jörg Schibler		S157 (inferred from the bone) 27 D000168	DNW	-	1	34	47.36	8.55	0.005236863	87	0	yes	NA
AA140	N	LG505	845	512209	0.164971721	0.042170286	5	0.0343	27.27573964	13.96249006	56.41569359	13.94631278	POZ-SIN-01	?		Y	EUD-A	Poland		Siniarzewo 1	Domestic	Small Domestic				Arkadiusz Marciniak	POZ-SIN-01			Y1	3	30	52.73	18.69	2.352555228	13560	1	POZ-SIN-01	NGS
AA141	Y	LG506	12527	306734	4.083994601	2.188867227	10	0.0501	44.35499321	16.17929624	50.68342277	15.32615653	POZ-SIN-02	5th Millennium BC?		W	EUW-A	Poland		Siniarzewo 1	Wild	Large Wild(100%)		M		Arkadiusz Marciniak	POZ-SIN-02		ANC-Y1-6A	Y1	4	30	52.73	18.69	0.031782339	528	2	POZ-SIN-02	PCR
AA144	N	LG510	1834	104623	1.75296063	0.400485553	1	0.1401	25.59923664	12.36939271	46.69810653	13.16539676	POZ-SIN-06	3200-600 BC		Y	EUD-A	Poland		Siniarzewo 1		Small Domestic		M		Arkadiusz Marciniak	POZ-SIN-06		ANC-Aside	Eu	7	30	52.73	18.69	0.002227171	37	0	POZ-SIN-06	PCR
AA145	N	LG511	83	2954	2.809749492	0.947867299	0	0	34.26506024	17.52704136	56.98205823	17.56445292	POZ-SIN-07	3200-600 BC		Y	EUD-A	Poland		Siniarzewo 1		Large Domestic(100%)		M		Arkadiusz Marciniak	POZ-SIN-07		ANC-Aside	Eu	8	30	52.73	18.69	0	0	0	POZ-SIN-07	PCR
LG507	N	LG507	52373	298279	17.55839332	12.24256485	67	0.0045	63.02080976	12.28174094	62.84037645	12.65910683	POZ-SIN-03	3200-600 BC		W	EUW-A	Poland		Siniarzewo 1	Wild	Large Wild(65.9%)				Arkadiusz Marciniak	POZ-SIN-03		ANC-Aside	Eu	11	36	52.73	18.69	0.242280142	3538	3	POZ-SIN-03	BOTH
AA303	N	GL532	1505	93484	1.60990116	0.220358564	1	0.4066	27.39529675	16.23646246	51.5243238	13.95129525	AB3	1st-5th cent AD	Roman	N	EUD-A	England	York	Swinegate	Domestic			M		Umberto Albarella	4014 AB3 1990.1		ANC-Aside	Eu	13	41	53.96	1.09	0.130981761	2096	1	no	BOTH
AA304	N	GL533	3927	16587	23.6751673	8.187134503	0	0.3815	50.98476739	21.87779106	64.27682418	16.92216898	AB6	1st-5th cent AD	Roman	N	EUD-A	England	York	Swinegate	Domestic			M		Umberto Albarella	4086 AB6 1990.1		ANC-Aside	Eu	1	42	53.96	1.09	0.193342563	2884	3	no	BOTH
AA020	N	GL179	5217	405253	1.287343956	0.185563093	0	0.0684	20.25397738	4.240165452	43.87766408	15.55059977	A553.1	c 2350 BC	Late ED/Akkadian	N		Syria	Brak	Tell Brak	Domestic			M		Roger Matthews	A553.1		DNW	-	7	21	36.68	41.05	0.023234816	386	0	no	NA
AA021	N	GL180	655	52291	1.252605611	0.179763248	1	0.1496	22.44122137	9.850215153	46.72364269	17.74594373	A1200.1	c 2400 BC	Late ED/Akkadian	N	NED-A	Syria	Brak	Tell Brak	Domestic			M		Roger Matthews			DNW	ArmT	8	21	36.68	41.05	1.498645639	11637	1	no	NGS
AA023	N	GL430	1808	81791	2.210512159	0.223740998	0	0.2196	19.1454646	3.169684048	44.19322419	19.25791837	A508.1	c 2350 BC	Late ED/Akkadian	N	NED-A	Syria	Brak	Tell Brak	Domestic			M		Roger Matthews	A508.1		DNW	Y1	10	21	36.68	41.05	0.126647806	1899	1	no	NGS
AA025	Y		1726	198172	0.87096058	0.117574632	0	0.0527	19.89397451	3.242614559	45.30011808	15.81338339	Unit A Loc 20 RN 16G 		Late Neolithic	Y	?	Iran	Fars Province	Tol-i-Bashi				M		Marjan Mashkour	BASHI 2003			Eu	12	21	42.03	43.47	0.112502257	1794	1	?	NGS
AA016	N	GL306	2588	145340	1.780652264	0.966010733	45	0.0483	44.70092736	18.34792927	55.5839411	16.72850431	ZMK 25/1934	c. AD 1000	early Medieval	N	EUD-A	Denmark	Central Zealand	Trelleborg	Domestic			M		Kim Aaris-Sørensen				Eu	4	21	56.02	10.26	2.708059953	14364	3	no	NGS
AA049	N	LG273	292	8099	3.605383381	0.135819237	0	0.3116	17.73630137	3.190780967	66.5805655	27.73030192	E-1-6		Chalcolithic (post- Neolithic)	N		Syria		Umm Qseir				M		Melinda Zeder	E-1-6		DNW	-	10	23	35.14	40.43	0.016673689	277	0	no	NA
AA050	Y	LG274	1512	70562	2.142796406	0.253677617	0	0.1931	19.90939153	3.436151735	45.43592869	19.68095133	E-1-4		Chalcolithic (post- Neolithic)	N	?	Syria		Umm Qseir				M		Melinda Zeder	E-1-4		DNW	Eu	11	23	35.14	40.43	0.102389695	1389	1	no	NGS
AA068	Y	GL565	12657	427857	2.958231372	1.321937002	77	0.0863	37.87564194	13.18387257	49.3986215	15.95400144	98	5th Millennium BC?	Middle/Late Neo - Eneo	Y	?	Romania	Calarasi County	Varasti	Undet.			M		Alexandru Dinu			ANC-Y1-6A	Y1	13	24	44.21	26.97	2.921808222	13267	3	no	BOTH
AA623	N		4680	22132	21.14585216	1.034700886	0	0.8004	25.52997859	17.29414712	61.95991515	18.46440093	FMP_VNER_653		Early Bronze Age	NA	NA	Italy		Via Neruda	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA624	N		1131	69243	1.633378103	0.496801121	0	0.3501	45.55510204	20.12344459	72.62161024	7.281416188	FMP_VNER_685		Early Bronze Age	NA	NA	Italy		Via Neruda	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA625	N		3258	115871	2.811747547	0.240785011	1	0.4804	29.72120496	20.57196917	67.27722954	13.02947498	FMP_VNER_860		Early Bronze Age	NA	NA	Italy		Via Neruda	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA626	N		1968	32642	6.029042338	0.321671466	0	0.659	27.45007452	18.31572514	58.55409156	15.88547593	FMP_VNER_861		Early Bronze Age	NA	NA	Italy		Via Neruda	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA627	N		678	92896	0.729848433	0.091500172	0	0.2227	29.08538899	18.43584898	62.78843064	15.46931033	FMP_VNER_903		Early Bronze Age	NA	NA	Italy		Via Neruda	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA628	N		1855	431702	0.429694558	0.063932991	0	0.3439	30.7756779	20.03869119	59.65865626	14.224453	FMP_VNER_910		Early Bronze Age	NA	NA	Italy		Via Neruda	NA	NA	NA	NA	NA	Domenico Lo Vetro	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA013	N	GL495	1091	45446	2.400651322	0.858161334	2	0.0275	29.51054079	12.89138211	47.90725256	17.24225152	ZMK 37/1909	1000-500 BC	Late bronze age	N	EUD-A	Denmark	S. Fyn	Voldtofte	Domestic			M		Kim Aaris-Sørensen				Eu	1	21	56.02	10.26	0.169265033	2467	1	no	NGS
